Headline,Text,Link
Iran warns France over ‘insulting’ cartoons depicting supreme leader Ali Khamenei,"Publication by French satirical magazine Charlie Hebdo ‘will not go without effective response’, says Tehran foreign minister",https://www.theguardian.com/world/2023/jan/04/iran-warns-france-over-insulting-cartoons-depicting-supreme-leader-ali-khamenei
Army veterans criticise Prince Harry’s claim he killed 25 Taliban in Afghanistan,Col Tim Collins says ‘we don’t do notches on rifle butt’ and kill-count talk could increase Harry’s personal security risk,https://www.theguardian.com/uk-news/2023/jan/06/army-veterans-criticise-prince-harry-claim-killed-25-taliban-afghanistan
"Afghan aid at risk from Taliban ban on women, warns United Nations",Standoff between UN and Taliban may lead loss of billions in humanitarian aid for Afghanistan,https://www.theguardian.com/world/2023/jan/06/afghan-aid-at-risk-from-taliban-ban-on-women-warns-united-nations
Anger as Pakistan court frees rapist after he agrees deal to marry his victim,Dawlat Khan had received a life sentence for the rape of a young deaf woman but a council of elders intervened to offer a compromise,https://www.theguardian.com/global-development/2022/dec/30/pakistan-court-frees-rapist-after-he-agrees-deal-to-marry-his-victim
Indian leather companies accused of enabling Russia’s war effort,Soldiers’ boots are made from imported Indian leather as country’s trade with Russia soars by 400%,https://www.theguardian.com/world/2022/dec/30/indian-leather-companies-russia-war-effort
UN suspends some Afghanistan programs after ban on female aid workers,Many humanitarian activities have to be ‘paused’ as Taliban decision to bar women NGO workers prevents delivery of vital services,https://www.theguardian.com/world/2022/dec/29/un-suspends-some-afghanistan-programs-taliban-female-aid-workers-ban
Myanmar’s junta blamed for deaths of more than 160 children in 2022,"Exiled National Unity Government says figure is a rise of 78% on last year, following February 2021 coup",https://www.theguardian.com/world/2022/dec/29/myanmars-junta-blamed-for-deaths-of-more-than-160-children-in-2022
Morrissey says Miley Cyrus album exit was nothing to do with his politics,American withdrew after recording guest vocals on the Mancunian’s yet-to-be-released new record,https://www.theguardian.com/music/2023/jan/07/morrissey-says-miley-cyrus-exit-was-nothing-to-do-with-his-politics
Quarter of ambulance patients in England wait an hour to get into A&E after arrival,Waiting times for admission to A&E in last week of year likely to be highest recorded by the service,https://www.theguardian.com/society/2023/jan/06/quarter-of-ambulance-patients-in-england-faced-hours-wait-for-a-and-e
"More than 2,600 ambulance workers from Unite to join existing strike",Industrial action on 23 January in England and Wales will coincide with strike by Unison members,https://www.theguardian.com/society/2023/jan/06/more-than-2600-ambulance-workers-from-unite-to-join-existing-strike
PPE Medpro: Michelle Mone-linked firm referred to UK health watchdog,DHSC accused PPE Medpro of presenting false document when tendering for PPE contracts,https://www.theguardian.com/uk-news/2023/jan/06/michelle-mone-ppe-medpro-referred-to-health-watchdog-dhsc
Prince Harry book leaks let papers have their cake and eat it,"Spanish bookshops and leak to the Guardian undo secrecy plans but won’t affect Spare’s sales, say industry experts",https://www.theguardian.com/uk-news/2023/jan/06/prince-harry-book-leaks-let-papers-have-their-cake-and-eat-it
Hanif Kureishi says he may never be able to walk or hold pen again after fall in Rome,Novelist and screenwriter says he is unable to move arms and legs and has undergone spinal surgery,https://www.theguardian.com/books/2023/jan/06/hanif-kureishi-fall-rome-spinal-surgery-novelist-screenwriter
"Six-year-old intentionally shot teacher in Virginia school, police say",Authorities said they had arrested the boy for shooting a female teacher at Richneck elementary school in Newport News,https://www.theguardian.com/us-news/2023/jan/06/virginia-school-student-shot-teacher
Republican McCarthy says he finally has enough votes to win House speaker – as it happened,House party leader says he’s confident he has the votes after losing 13 straight rounds – follow all the latest politics news,https://www.theguardian.com/us-news/live/2023/jan/06/house-speaker-vote-republicans-mccarthy-us-politics-latest
‘We’ll have the votes’: McCarthy appears upbeat as House adjourns,Republican is hopeful that deal with far-right detractors could award him speaker title while House business remains paralyzed,https://www.theguardian.com/us-news/2023/jan/06/house-speaker-spectacle-continues-mccarthy-faces-fourth-day-voting
Biden salutes January 6 heroes ‘who did not flinch’ in medal ceremony,The president spoke with passion about police officers and election officials who held the line on the second anniversary of the attempted insurrection,https://www.theguardian.com/us-news/2023/jan/06/biden-salutes-january-6-heroes-medal-ceremony
Fears over lax security in Republican-controlled House two years after Capitol attack,Fresh concerns raised over stripping away of measures put in place by Democrats after January 6 insurrection,https://www.theguardian.com/us-news/2023/jan/05/republicans-control-house-security-measures-capitol-attack
Democrats commemorate January 6 attack with tears and silence at US Capitol,Hundreds of members of Congress gathered to pay tribute to five police officers whose deaths have been tied to the insurrection,https://www.theguardian.com/us-news/2023/jan/06/democrats-commemorate-january-6-attack-with-tears-and-silence-at-us-capitol
