Headline,Text,Link
China data ‘under-represents’ true impact of Covid outbreak – WHO,"Analysis of Chinese data finds no new variants of concern emerging, but world health body says it still does not have ‘complete data’",https://www.theguardian.com/world/2023/jan/05/china-data-under-represents-true-impact-of-covid-outbreak-who
EU wants travellers from China to take pre-departure Covid tests,Bloc recommends negative coronavirus tests from all arrivals despite warnings from Beijing of retaliation,https://www.theguardian.com/world/2023/jan/04/eu-to-require-travellers-from-china-to-take-pre-departure-covid-tests
Vietnamese boy trapped in 35-metre concrete pillar dies,Ten-year-old who fell into a narrow open shaft on New Year’s Eve at construction site confirmed dead,https://www.theguardian.com/world/2023/jan/04/vietnamese-boy-trapped-in-35-metre-long-concrete-pillar-dies
"Australia should back new search for MH370, top official who led first effort says","Efforts to find Malaysia Airlines plane that disappeared with 239 people on board should resume now that new equipment and data is available, expert says",https://www.theguardian.com/world/2023/jan/05/australia-should-back-new-search-for-mh370-says-top-official-who-led-first-effort
Bike maker Brompton to source fewer parts from China and Taiwan,UK company makes decision because of growing tensions between Beijing and the island,https://www.theguardian.com/business/2023/jan/04/bike-maker-brompton-to-source-fewer-parts-from-china-and-taiwan
Ministers yet to finalise Covid testing plans for travellers from China,Officials confirm new policy for England will begin on Thursday but say they are still working on final details,https://www.theguardian.com/world/2023/jan/03/travellers-from-china-who-test-positive-in-uk-for-covid-will-not-need-to-isolate
Australia news live: defence force deployed to Kimberley floods; bushfire warning for south-west WA,Follow live,https://www.theguardian.com/australia-news/live/2023/jan/05/australia-news-live-gold-coast-helicopter-crash-queensland-china-coal-ban-exports-albanese-ex-tropical-cyclone-ellie-broome-kimberley-floods
"Victoria approves cull of 50,000 more kangaroos than last year despite unknown flood impact","Animal Justice party MP says recommended quota of 236,350 is based on inaccurate figures that do not factor in widespread flooding",https://www.theguardian.com/australia-news/2023/jan/05/victoria-approves-cull-of-50000-more-kangaroos-than-last-year-despite-unknown-flood-impact
Video filmed inside helicopter cabin shows moments before Gold Coast crash,Passenger taps pilot’s shoulder shortly before collision that left four dead in video shot by survivor,https://www.theguardian.com/australia-news/2023/jan/05/video-filmed-inside-helicopter-cabin-shows-moments-before-gold-coast-crash
Victorian court allows abused altar boy’s children and wife to sue Catholic church,Unique case may set precedent as family alleges church’s failings caused man’s violence in later life,https://www.theguardian.com/law/2023/jan/05/victorian-court-allows-abused-altar-boys-children-and-wife-to-sue-catholic-church
Melbourne shrank while Queensland grew: what the pandemic did to Australia’s population,The Victorian capital is still on track to outpace Sydney as the biggest city in Australia but Covid lockdowns slowed that growth,https://www.theguardian.com/australia-news/2023/jan/05/melbourne-shrank-while-queensland-grew-what-the-pandemic-did-to-australias-population
Australian defence force to spend $1bn acquiring naval strike missiles and army rocket systems,Government says purchase of truck-mounted rockets ‘largest expansion of army strike capability in living memory’ with range extended from 50km to 300km,https://www.theguardian.com/australia-news/2023/jan/05/australian-defence-force-to-spend-1bn-acquiring-naval-strike-missiles-and-army-rocket-systems
Iran warns France over ‘insulting’ cartoons depicting supreme leader Ali Khamenei,"Publication by French satirical magazine Charlie Hebdo ‘will not go without effective response’, says Tehran foreign minister",https://www.theguardian.com/world/2023/jan/04/iran-warns-france-over-insulting-cartoons-depicting-supreme-leader-ali-khamenei
Head of Ukraine military intelligence tells Kremlin to expect strikes ‘deeper and deeper’ into Russia – as it happened,"Kyrylo Budanov says he expects fighting to be ‘hottest’ in March, with a Ukraine counter attack in the spring",https://www.theguardian.com/world/live/2023/jan/04/russia-ukraine-war-live-moscow-revises-makiivka-death-toll-to-89-zelenskiy-reiterates-warning-of-new-russian-offensive
"Six-day illegal rave sees 5,000 people descend on Spanish village","Residents watched in amazement as tents, caravans and seven stages set up near village centre",https://www.theguardian.com/world/2023/jan/04/six-day-rave-sees-5000-people-descend-on-spanish-village
Meta dealt blow by EU ruling that could result in data use ‘opt-in’,Irish regulator fines Facebook owner €390m after EU rejects argument for use of data to drive personalised ads,https://www.theguardian.com/technology/2023/jan/04/meta-dealt-blow-eu-ruling-data-opt-in-facebook-instagram-ads
Record warm winter in parts of Europe forces closure of ski slopes,Resorts open hiking trails and lifts for mountain bikes amid unseasonably high temperatures and lack of snow,https://www.theguardian.com/world/2023/jan/04/warmest-january-ever-forces-ski-slopes-across-europe-to-close
Prosecutors call for France’s former spy chief to stand trial,Bernard Squarcini and 10 others await magistrates’ decision on hearing charges including influence peddling and forgery,https://www.theguardian.com/world/2023/jan/04/prosecutors-call-for-frances-former-spy-chief-to-stand-trial
Israel unveils controversial plans to overhaul judicial system,Critics warn changes will weaken supreme court and undermine country’s democracy,https://www.theguardian.com/world/2023/jan/04/israel-unveils-controversial-plans-to-overhaul-judicial-system
Extreme-right Israeli minister visits al-Aqsa mosque compound,Move by Itamar Ben-Gvir angers Palestinians after Hamas warned such a step was a ‘red line’,https://www.theguardian.com/world/2023/jan/03/extreme-right-israel-minister-itamar-ben-gvir-visits-al-aqsa-mosque-compound
Iranian sports minister accuses UK of ‘sedition plot at World Cup’,Tehran parliament told plan was for national football team to defect on pitch in Qatar but plot was foiled,https://www.theguardian.com/world/2023/jan/03/iranian-sports-minister-accuses-uk-sedition-plot-at-world-cup-qatar
Iranian police detain top footballers at New Year’s Eve party,"Players briefly held after raid on mixed-gender party, as elsewhere dissident Keyvan Samimi is released from prison",https://www.theguardian.com/world/2023/jan/01/iran-detains-top-footballers-at-new-years-eve-party
Iran’s supreme court accepts protester’s appeal against death sentence,Sahand Noor Mohammadzadeh is accused of damaging public property during anti-government riots and ‘waging war against God’,https://www.theguardian.com/world/2022/dec/31/irans-supreme-court-accepts-protesters-appeal-against-death-sentence
"Actor, doctor, engineer: stories of Iranians sentenced to death over killing at protest",Five men apparently unknown to each other were probably forced to give false confessions,https://www.theguardian.com/global-development/2022/dec/30/actor-doctor-engineer-stories-of-iranians-sentenced-to-death-over-killing-at-protest
Anger as Pakistan court frees rapist after he agrees deal to marry his victim,Dawlat Khan had received a life sentence for the rape of a young deaf woman but a council of elders intervened to offer a compromise,https://www.theguardian.com/global-development/2022/dec/30/pakistan-court-frees-rapist-after-he-agrees-deal-to-marry-his-victim
Indian leather companies accused of enabling Russia’s war effort,Soldiers’ boots are made from imported Indian leather as country’s trade with Russia soars by 400%,https://www.theguardian.com/world/2022/dec/30/indian-leather-companies-russia-war-effort
UN suspends some Afghanistan programs after ban on female aid workers,Many humanitarian activities have to be ‘paused’ as Taliban decision to bar women NGO workers prevents delivery of vital services,https://www.theguardian.com/world/2022/dec/29/un-suspends-some-afghanistan-programs-taliban-female-aid-workers-ban
Myanmar’s junta blamed for deaths of more than 160 children in 2022,"Exiled National Unity Government says figure is a rise of 78% on last year, following February 2021 coup",https://www.theguardian.com/world/2022/dec/29/myanmars-junta-blamed-for-deaths-of-more-than-160-children-in-2022
Faint hopes that Taliban will relax ban on NGO women after UN condemnation,Security council’s rare display of unity adds pressure after most aid groups in Afghanistan suspend services,https://www.theguardian.com/world/2022/dec/28/afghanistan-faint-hopes-that-taliban-will-relax-ban-on-ngo-women-after-un-condemnation
Indian police investigate Russian politician’s hotel death,"Death of Pavel Antov, who reportedly criticised Ukraine war, comes days after his travelling companion died at same hotel",https://www.theguardian.com/world/2022/dec/27/indian-police-investigate-russian-politicians-hotel-death
Prince Harry details physical attack by brother William in new book,Exclusive: Harry writes in new autobiography Spare that William ‘knocked me to the floor’ during confrontation in London in 2019,https://www.theguardian.com/books/2023/jan/04/prince-harry-william-physical-attack-2019-meghan-spare-book
Anti-strike law could be brought forward as government tries to end disputes,‘Minimum service level’ legislation covering sectors including health expected to be announced this week,https://www.theguardian.com/politics/2023/jan/04/anti-strike-law-could-be-brought-forward-as-government-tries-to-end-disputes
"Shortage of cold medicines in UK is government’s fault, say pharmacists",Pharmacy leaders cite ministers’ ‘lack of planning’ amid problems obtaining common products,https://www.theguardian.com/society/2023/jan/04/shortage-of-cough-and-cold-medicines-in-uk-is-governments-fault-say-pharmacists
"‘No tricks, no ambiguity’: Rishi Sunak vows to deliver on ‘people’s priorities’","PM makes five pledges for public to judge him against, but gives little detail or timescale",https://www.theguardian.com/politics/2023/jan/04/rishi-sunak-vows-to-deliver-on-peoples-priorities-conservatives
"Labour will not open ‘big government chequebook’, Starmer to say",Party leader’s new year speech to promise ‘national renewal’ if elected but stress role of private sector too,https://www.theguardian.com/politics/2023/jan/04/labour-will-not-open-big-government-chequebook-starmer-to-say
How Eleanor Williams’s lies about grooming and abuse unravelled,"With one horrific viral post, a young woman set off a domino run that derailed lives, damaged community relations and created fear among the Asian community in Barrow",https://www.theguardian.com/uk-news/2023/jan/04/how-eleanor-williamss-lies-about-grooming-and-abuse-unravelled
‘Remember your training’: teen pilot makes emergency landing on Route 66,"Brock Peters, 18, lands plane on California road carrying cousins and weeping grandmother four months after getting pilot license",https://www.theguardian.com/us-news/2023/jan/04/brock-peters-hero-teen-pilot-route-66
House without a speaker as McCarthy fails to secure majority in six rounds of voting – live,House adjourns until 8pm ET as Republicans remain deadlocked – follow all the latest politics news,https://www.theguardian.com/us-news/live/2023/jan/04/mccarthy-house-speaker-vote-republicans-trump-live-updates
California declares state of emergency over ‘truly brutal’ storm,Incoming bomb cyclone system threatens to wreak havoc in the drought-stricken state while doing little to alleviate its water woes,https://www.theguardian.com/us-news/2023/jan/04/california-bomb-cyclone-storm-flooding
Arizona county blames human error for discrepancies in attorney general race,The county found hundreds of additional votes during a mandatory statewide recount,https://www.theguardian.com/us-news/2023/jan/04/arizona-recount-attorney-general-election-human-error
House adjourned after McCarthy fails to win speakership on second day of voting,Republican leader’s prospects dim as he continues to fall short after six rounds of voting over two days,https://www.theguardian.com/us-news/2023/jan/04/trump-mccarthy-vote-republicans
US government approves use of world’s first vaccine for honeybees,Hopes of a new weapon against diseases that routinely ravage colonies that are relied upon for food pollination,https://www.theguardian.com/environment/2023/jan/04/honeybee-vaccine-first-approved
